SETID,FACILITY_ID,EFFDT,EFF_STATUS,BLDG_CD,ROOM,DESCR,DESCRSHORT,FACILITY_TYPE,FACILITY_GROUP,LOCATION,ROOM_CAPACITY,GENERL_ASSIGN,ACAD_ORG,FACILITY_PARTITION,MIN_UTLZN_PCT,FACILITY_CONFLICT,EXT_SA_FACILITY_ID
"SJ000","ADM167",4/29/2004,"A","ADM","167","Administration Building 167","ADM167","CONF","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","AF001",5/25/2018,"A","AF","001","Art Foundry","AF001","NCLS","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","AQXCTR",1/1/1902,"A","AQX","CTR","Student Union Aquatics Center","AQXCTR","NCLS","N","MAIN",0,"Y"," "," ",0,"Y"," "
"SJ000","ART101B",1/29/2004,"A","ART","101B","Art Building 101B","ART101B","LAB","N","MAIN",1,"Y"," "," ",0,"Y"," "
"SJ000","ART103",1/29/2004,"A","ART","103","Art Building 103","ART103","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART105",1/29/2004,"A","ART","105","Art Building 105","ART105","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","ART105A",1/29/2004,"A","ART","105A","Art Building 105A","ART105A","LAB","N","MAIN",1,"Y"," "," ",0,"Y"," "
"SJ000","ART108",1/29/2004,"A","ART","108","Art Building 108","ART108","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART108A",1/29/2004,"A","ART","108A","Art Building 108A","ART108A","LAB","N","MAIN",1,"Y"," "," ",0,"Y"," "
"SJ000","ART109",1/29/2004,"A","ART","109","Art Building 109","ART109","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART110",2/1/2024,"A","ART","110","Art Building 110","ART110","CLEC","N","MAIN",35,"Y"," "," ",0,"Y"," "
"SJ000","ART110A",1/29/2004,"A","ART","110A","Art Building 110A","ART110A","LAB","N","MAIN",15,"Y"," "," ",0,"Y"," "
"SJ000","ART112",1/29/2004,"A","ART","112","Art Building 112","ART112","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","ART114",9/6/2023,"A","ART","114","Art Building 114","ART114","CONF","N","MAIN",12,"Y"," "," ",0,"Y"," "
"SJ000","ART118A",1/29/2004,"A","ART","118A","Art Building 118A","ART118A","LAB","N","MAIN",1,"Y"," "," ",0,"Y"," "
"SJ000","ART120",3/14/2012,"A","ART","120","Art Building 120","ART120","LAB","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","ART133",2/1/2024,"A","ART","133","Art Building 133","ART133","CLEC","N","MAIN",70,"Y"," "," ",0,"Y"," "
"SJ000","ART135",2/1/2024,"A","ART","135","Art Building 135","ART135","CLEC","N","MAIN",55,"Y"," "," ",0,"Y"," "
"SJ000","ART139",1/25/2006,"A","ART","139","Art Building 139","ART139","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART141",2/1/2024,"A","ART","141","Art Building 141","ART141","CLEC","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART201",1/29/2004,"A","ART","201","Art Building 201","ART201","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART202",1/29/2004,"A","ART","202","Art Building 202","ART202","LAB","N","MAIN",1,"Y"," "," ",0,"Y"," "
"SJ000","ART203",1/29/2004,"A","ART","203","Art Building 203","ART203","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART205",1/29/2004,"A","ART","205","Art Building 205","ART205","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART206",1/29/2004,"A","ART","206","Art Building 206","ART206","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART206A",1/29/2004,"A","ART","206A","Art Building 206A","ART206A","LAB","N","MAIN",1,"Y"," "," ",0,"Y"," "
"SJ000","ART207",1/29/2004,"A","ART","207","Art Building 207","ART207","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART209",1/29/2004,"A","ART","209","Art Building 209","ART209","LAB","N","MAIN",1,"Y"," "," ",0,"Y"," "
"SJ000","ART210",1/29/2004,"A","ART","210","Art Building 210","ART210","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART212",2/1/2024,"A","ART","212","Art Building 212","ART212","CLEC","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART212A",1/29/2004,"A","ART","212A","Art Building 212A","ART212A","LAB","N","MAIN",2,"Y"," "," ",0,"Y"," "
"SJ000","ART216",2/1/2024,"A","ART","216","Art Building 216","ART216","CLEC","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART218",1/29/2004,"A","ART","218","Art Building 218","ART218","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART222",1/29/2004,"A","ART","222","Art Building 222","ART222","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART224",1/29/2004,"A","ART","224","Art Building 224","ART224","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART237",1/29/2004,"A","ART","237","Art Building 237","ART237","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART241",1/29/2004,"A","ART","241","Art Building 241","ART241","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART243",2/1/2024,"A","ART","243","Art Building 243","ART243","CLEC","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART245",1/29/2004,"A","ART","245","Art Building 245","ART245","LAB","N","MAIN",15,"Y"," "," ",0,"Y"," "
"SJ000","ART301",1/29/2004,"A","ART","301","Art Building 301","ART301","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART304",1/29/2004,"A","ART","304","Art Building 304","ART304","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART306",1/29/2004,"A","ART","306","Art Building 306","ART306","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART307",1/29/2004,"A","ART","307","Art Building 307","ART307","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","ART309",1/29/2004,"A","ART","309","Art Building 309","ART309","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART310",1/29/2004,"A","ART","310","Art Building 310","ART310","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART312",1/29/2004,"A","ART","312","Art Building 312","ART312","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","ART314",1/29/2004,"A","ART","314","Art Building 314","ART314","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","ART335",1/29/2004,"A","ART","335","Art Building 335","ART335","LAB","N","MAIN",1,"Y"," "," ",0,"Y"," "
"SJ000","ART337",1/29/2004,"A","ART","337","Art Building 337","ART337","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","BBC003",3/2/2004,"A","BBC","003","Boccardo Business Center 003","BBC003","LCTR","N","MAIN",50,"Y"," "," ",0,"Y"," "
"SJ000","BBC004",3/2/2004,"A","BBC","004","Boccardo Business Center 004","BBC004","LCTR","N","MAIN",110,"Y"," "," ",0,"Y"," "
"SJ000","BBC021",3/2/2004,"A","BBC","021","Boccardo Business Center 021","BBC021","LCTR","N","MAIN",50,"Y"," "," ",0,"Y"," "
"SJ000","BBC022",3/2/2004,"A","BBC","022","Boccardo Business Center 022","BBC022","LCTR","N","MAIN",50,"Y"," "," ",0,"Y"," "
"SJ000","BBC032",1/28/2016,"A","BBC","032","Boccardo Business Center 032","BBC032","CONF","N","MAIN",50,"Y"," "," ",0,"Y"," "
"SJ000","BBC102",3/2/2004,"A","BBC","102","Boccardo Business Center 102","BBC102","LCTR","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","BBC103",3/2/2004,"A","BBC","103","Boccardo Business Center 103","BBC103","LCTR","N","MAIN",50,"Y"," "," ",0,"Y"," "
"SJ000","BBC104",3/2/2004,"A","BBC","104","Boccardo Business Center 104","BBC104","LCTR","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","BBC105",8/19/2008,"A","BBC","105","Boccardo Business Center 105","BBC105","LCTR","N","MAIN",50,"Y"," "," ",0,"Y"," "
"SJ000","BBC106",3/2/2004,"A","BBC","106","Boccardo Business Center 106","BBC106","LCTR","N","MAIN",60,"Y"," ","01",0,"Y"," "
"SJ000","BBC107",3/2/2004,"A","BBC","107","Boccardo Business Center 107","BBC107","LCTR","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","BBC108",3/2/2004,"A","BBC","108","Boccardo Business Center 108","BBC108","LCTR","N","MAIN",60,"Y"," ","01",0,"Y"," "
"SJ000","BBC120",9/4/2007,"A","BBC","120","Boccardo Business Center 120","BBC120","LCTR","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","BBC121",9/4/2007,"A","BBC","121","Boccardo Business Center 121","BBC121","LCTR","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","BBC122",9/4/2007,"A","BBC","122","Boccardo Business Center 122","BBC122","LCTR","N","MAIN",31,"Y"," "," ",0,"Y"," "
"SJ000","BBC123",8/12/2009,"A","BBC","123","Boccardo Business Center 123","BBC123","LCTR","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","BBC124",8/12/2009,"A","BBC","124","Boccardo Business Center 124","BBC124","LCTR","N","MAIN",31,"Y"," "," ",0,"Y"," "
"SJ000","BBC125",8/12/2009,"A","BBC","125","Boccardo Business Center 125","BBC125","LCTR","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","BBC126",9/4/2007,"A","BBC","126","Boccardo Business Center 126","BBC126","LCTR","N","MAIN",31,"Y"," "," ",0,"Y"," "
"SJ000","BBC128",8/12/2009,"A","BBC","128","Boccardo Business Center 128","BBC128","LCTR","N","MAIN",31,"Y"," "," ",0,"Y"," "
"SJ000","BBC130",9/4/2007,"A","BBC","130","Boccardo Business Center 130","BBC130","LCTR","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","BBC201",8/12/2009,"A","BBC","201","Boccardo Business Center 201","BBC201","LCTR","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","BBC202",3/2/2004,"A","BBC","202","Boccardo Business Center 202","BBC202","LCTR","N","MAIN",119,"Y"," "," ",0,"Y"," "
"SJ000","BBC203",9/23/2016,"A","BBC","203","Boccardo Business Center 203","BBC203","LCTR","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","BBC204",3/2/2004,"A","BBC","204","Boccardo Business Center 204","BBC204","LCTR","N","MAIN",119,"Y"," "," ",0,"Y"," "
"SJ000","BBC205",9/23/2016,"A","BBC","205","Boccardo Business Center 205","BBC205","LCTR","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","BBC220",8/12/2009,"A","BBC","220","Boccardo Business Center 220","BBC220","LCTR","N","MAIN",64,"Y"," "," ",0,"Y"," "
"SJ000","BBC221",9/4/2007,"A","BBC","221","Boccardo Business Center 221","BBC221","LCTR","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","BBC222",8/12/2009,"A","BBC","222","Boccardo Business Center 222","BBC222","LCTR","N","MAIN",64,"Y"," ","01",0,"Y"," "
"SJ000","BBC223",8/12/2009,"A","BBC","223","Boccardo Business Center 223","BBC223","LCTR","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","BBC224",3/2/2004,"A","BBC","224","Boccardo Business Center 224","BBC224","LCTR","N","MAIN",64,"Y"," ","01",0,"Y"," "
"SJ000","BBC225",9/4/2007,"A","BBC","225","Boccardo Business Center 225","BBC225","LCTR","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","BBC226",3/2/2004,"A","BBC","226","Boccardo Business Center 226","BBC226","LCTR","N","MAIN",64,"Y"," "," ",0,"Y"," "
"SJ000","BBC301",2/1/2024,"A","BBC","301","Boccardo Business Center 301","BBC301","CLEC","N","MAIN",48,"Y"," "," ",0,"Y"," "
"SJ000","BBC302",8/22/2012,"A","BBC","302","Boccardo Business Center 302","BBC302","CMLB","N","MAIN",100,"Y"," "," ",0,"Y"," "
"SJ000","BBC303",8/20/2015,"A","BBC","303","Boccardo Business Center 303","BBC 303","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","BBC304",3/14/2012,"A","BBC","304","Boccardo Business Center 304","BBC304","CMLB","N","MAIN",45,"Y"," "," ",0,"Y"," "
"SJ000","BBC305",3/14/2012,"A","BBC","305","Boccardo Business Center 305","BBC305","CMLB","N","MAIN",48,"Y"," ","01",0,"Y"," "
"SJ000","BBC320",3/2/2004,"A","BBC","320","Boccardo Business Center 320","BBC320","LCTR","N","MAIN",60,"Y"," ","01",0,"Y"," "
"SJ000","BBC321",3/14/2012,"A","BBC","321","Boccardo Business Center 321","BBC321","CONF","N","MAIN",42,"Y"," "," ",0,"Y"," "
"SJ000","BBC322",3/2/2004,"A","BBC","322","Boccardo Business Center 322","BBC322","LCTR","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","BBC323",2/1/2024,"A","BBC","323","Boccardo Business Center 323","BBC323","CLEC","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","BBC324",3/2/2004,"A","BBC","324","Boccardo Business Center 324","BBC324","LCTR","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","BBC326",8/19/2008,"A","BBC","326","Boccardo Business Center 326","BBC326","LCTR","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","CABRL455",3/20/2012,"A","CABRL","455","Cabrillo College 455","CABRL455","NCLS","N","MAIN",0,"Y"," "," ",0,"Y"," "
"SJ000","CC000",1/1/1902,"A","CC","000","Custom Contracts - PDC","CC000","NCLS","N","PDC",0,"Y"," "," ",0,"Y"," "
"SJ000","CCB100",3/24/2015,"A","CCB","100","Central Classroom Building 100","CCB100","CMLB","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","CCB101",3/2/2004,"A","CCB","101","Central Classroom Building 101","CCB101","LCTR","N","MAIN",41,"Y"," "," ",0,"Y"," "
"SJ000","CCB102",2/16/2018,"A","CCB","102","Central Classroom Building 102","CCB102","LCTR","N","MAIN",45,"Y"," "," ",0,"Y"," "
"SJ000","CCB114",1/29/2004,"A","CCB","114","Central Classroom Building 114","CCB114","LAB","N","MAIN",10,"Y"," "," ",0,"Y"," "
"SJ000","CCB115",5/25/2018,"A","CCB","115","Central Classroom Building 115","CCB115","LAB","N","MAIN",42,"Y"," "," ",0,"Y"," "
"SJ000","CCB118",1/29/2004,"A","CCB","118","Central Classroom Building 118","CCB118","LAB","N","MAIN",12,"Y"," "," ",0,"Y"," "
"SJ000","CCB121",1/29/2004,"A","CCB","121","Central Classroom Building 121","CCB121","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","CCB122",1/29/2004,"A","CCB","122","Central Classroom Building 122","CCB122","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","CCB125",1/29/2004,"A","CCB","125","Central Classroom Building 125","CCB125","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","CCB128",1/29/2004,"A","CCB","128","Central Classroom Building 128","CCB128","LAB","N","MAIN",0,"Y"," "," ",0,"Y"," "
"SJ000","CCB209",5/25/2018,"A","CCB","209","Central Classroom Building 209","CCB209","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","CCB210",5/25/2018,"A","CCB","210","Central Classroom Building 210","CCB210","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","CCB212",1/29/2004,"A","CCB","212","Central Classroom Building 212","CCB212","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CCB212A",1/29/2004,"A","CCB","212A","Central Classroom Bldg 212A","CCB212A","LAB","N","MAIN",0,"Y"," "," ",0,"Y"," "
"SJ000","CCB216",1/29/2004,"A","CCB","216","Central Classroom Building 216","CCB216","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","CCB217",1/29/2004,"A","CCB","217","Central Classroom Building 217","CCB217","LAB","N","MAIN",0,"Y"," "," ",0,"Y"," "
"SJ000","CCB221",1/29/2004,"A","CCB","221","Central Classroom Building 221","CCB221","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","CCB221A",1/29/2004,"A","CCB","221A","Central Classroom Bldg 221A","CCB221A","LAB","N","MAIN",0,"Y"," "," ",0,"Y"," "
"SJ000","CCB222",1/29/2004,"A","CCB","222","Central Classroom Building 222","CCB222","CONF","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL111",3/22/2016,"A","CL","111","Clark Building 111","CL111","CMLB","N","MAIN",45,"Y"," "," ",0,"Y"," "
"SJ000","CL117",1/25/2006,"A","CL","117","Clark Building 117","CL117","LCTR","N","MAIN",70,"Y"," "," ",0,"Y"," "
"SJ000","CL118",9/10/2012,"A","CL","118","Clark Building 118","CL118","LAB","N","MAIN",32,"Y"," "," ",0,"Y"," "
"SJ000","CL122",10/16/2012,"A","CL","122","Clark Building 122","CL122","SMNR","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","CL125",4/1/2016,"A","CL","125","Clark Building 125","CL125","OTHR","N","PDC",20,"Y"," "," ",0,"Y"," "
"SJ000","CL127",4/1/2016,"A","CL","127","Clark Building 127","CL127","OTHR","N","PDC",20,"Y"," "," ",0,"Y"," "
"SJ000","CL129",4/1/2016,"A","CL","129","Clark Building 129","CL129","OTHR","N","PDC",20,"Y"," "," ",0,"Y"," "
"SJ000","CL131",4/9/2016,"A","CL","131","Clark Building 131","CL131","OTHR","N","PDC",20,"Y"," "," ",0,"Y"," "
"SJ000","CL202",8/1/2016,"A","CL","202","Clark Building 202","CL202","LCTR","N","MAIN",48,"Y"," "," ",0,"Y"," "
"SJ000","CL203",6/9/2006,"A","CL","203","Clark Building 203","CL203","NCLS","N","MAIN",50,"Y"," "," ",0,"Y"," "
"SJ000","CL204",8/1/2016,"A","CL","204","Clark Building 204","CL204","LCTR","N","MAIN",48,"Y"," "," ",0,"Y"," "
"SJ000","CL205",1/25/2006,"A","CL","205","Clark Building 205","CL205","LCTR","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","CL206",1/25/2006,"A","CL","206","Clark Building 206","CL206","LAB","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","CL208",1/25/2006,"A","CL","208","Clark Building 208","CL208","NCLS","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","CL216",1/25/2006,"A","CL","216","Clark Building 216","CL216","LCTR","N","MAIN",32,"Y"," "," ",0,"Y"," "
"SJ000","CL218",2/16/2018,"A","CL","218","Clark Building 218","CL218","LCTR","N","MAIN",26,"Y"," "," ",0,"Y"," "
"SJ000","CL222",8/21/2018,"A","CL","222","Clark Building 222","CL222","LCTR","N","MAIN",90,"Y"," "," ",0,"Y"," "
"SJ000","CL224",9/4/2007,"A","CL","224","Clark Building 224","CL224","LCTR","N","MAIN",54,"Y"," "," ",0,"Y"," "
"SJ000","CL225A",2/18/2019,"A","CL","225A","Clark Building 225A","CL225A","LCTR","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL225B",2/18/2019,"A","CL","225B","Clark Building 225B","CL225B","LCTR","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL226",8/21/2018,"A","CL","226","Clark Building 226","CL226","LCTR","N","MAIN",80,"Y"," "," ",0,"Y"," "
"SJ000","CL229",1/2/2014,"A","CL","229","Clark Building 229","CL229","OFF","N","MAIN",50,"Y"," "," ",0,"Y"," "
"SJ000","CL231",1/2/2014,"A","CL","231","Clark Building 231","CL231","OFF","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","CL234",1/25/2006,"A","CL","234","Clark Building 234","CL234","LCTR","N","MAIN",40,"Y"," "," ",0,"Y"," "
"SJ000","CL238",8/19/2019,"A","CL","238","Clark Building 238","CL238","LCTR","N","MAIN",48,"Y"," "," ",0,"Y"," "
"SJ000","CL240",1/25/2006,"A","CL","240","Clark Building 240","CL240","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL242",7/13/2006,"A","CL","242","Clark Building 242","CL242","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","CL243",1/25/2006,"A","CL","243","Clark Building 243","CL243","LCTR","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","CL244",1/25/2006,"A","CL","244","Clark Building 244","CL244","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL302",8/1/2016,"A","CL","302","Clark Building 302","CL302","LCTR","N","MAIN",48,"Y"," "," ",0,"Y"," "
"SJ000","CL303A",2/18/2019,"A","CL","303A","Clark Building 303A","CL303A","LCTR","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL303B",2/18/2019,"A","CL","303B","Clark Building 303B","CL303B","LCTR","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL304",1/25/2006,"A","CL","304","Clark Building 304","CL304","LAB","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","CL305",3/14/2012,"A","CL","305","Clark Building 305","CL305","NCLS","N","MAIN",18,"Y"," "," ",0,"Y"," "
"SJ000","CL306",1/25/2006,"A","CL","306","Clark Building 306","CL306","LCTR","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","CL308",6/9/2006,"A","CL","308","Clark Building 308","CL308","LCTR","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","CL310",6/9/2006,"A","CL","310","Clark Building 310","CL310","LCTR","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","CL316",8/19/2008,"A","CL","316","Clark Building 316","CL316","LCTR","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL318",8/19/2008,"A","CL","318","Clark Building 318","CL318","LCTR","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","CL322",1/25/2006,"A","CL","322","Clark Building 322","CL322","LAB","N","MAIN",60,"Y"," "," ",0,"Y"," "
"SJ000","CL324",7/20/2016,"A","CL","324","Clark Building 324","CL324","LCTR","N","MAIN",48,"Y"," "," ",0,"Y"," "
"SJ000","CL421",3/16/2017,"A","CL","421","Clark Hall 421","CL421","CONF","N","MAIN",8,"Y"," "," ",0,"Y"," "
"SJ000","CP000",1/1/1902,"A","CP","000","Compass Point - PDC","CP000","NCLS","N","PCP000",0,"Y"," "," ",0,"Y"," "
"SJ000","DBH107",1/29/2004,"A","DBH","107","Dwight Bentel Hall 107","DBH107","CONF","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","DBH117D",9/17/2015,"A","DBH","117D","Dwight Bentel Hall 117D","DBH117D","LAB","N","MAIN",30,"Y"," "," ",0,"Y"," "
"SJ000","DBH133",2/1/2024,"A","DBH","133","Dwight Bentel Hall 133","DBH133","CLEC","N","MAIN",75,"Y"," "," ",0,"Y"," "
"SJ000","DBH141",8/24/2016,"A","DBH","141","Dwight Bentel Hall 141","DBH141","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","DBH202",5/31/2022,"A","DBH","202","Dwight Bentel Hall 202","DBH202","LAB","N","MAIN",24,"Y"," "," ",0,"Y"," "
"SJ000","DBH209",1/29/2004,"A","DBH","209","Dwight Bentel Hall 209","DBH209","LAB","N","MAIN",25,"Y"," "," ",0,"Y"," "
"SJ000","DBH209B",3/19/2004,"A","DBH","209B","Dwight Bentel Hall 209B","DBH209B","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
"SJ000","DBH209I",1/29/2004,"A","DBH","209I","Dwight Bentel Hall 209I","DBH209I","LAB","N","MAIN",20,"Y"," "," ",0,"Y"," "
